[1/2/2015 - 23:1:57] | Igrac: Vito_Vercetti | ID: 1 | IP: 25.169.233.103
[7/2/2015 - 0:58:9] | Igrac: Johnny_Nelsone | ID: 0 | IP: 127.0.0.1
[12/4/2015 - 20:37:29] | Igrac: Carbon_Boss | ID: 0 | IP: 25.145.80.208
[12/4/2015 - 23:10:32] | Igrac: Kicone_Groff | ID: 0 | IP: 25.148.130.70
[23/4/2015 - 23:14:34] | Igrac: Rajcha_Makaveli | ID: 1 | IP: 109.245.67.233
[23/4/2015 - 23:16:23] | Igrac: Vito_Vercetti | ID: 0 | IP: 217.16.134.134
[10/5/2015 - 18:44:41] | Igrac: Stefan_Ristic | ID: 1 | IP: 178.220.67.15
[10/5/2015 - 18:46:18] | Igrac: Pedja_Montana | ID: 4 | IP: 178.220.40.80
[10/5/2015 - 18:48:29] | Igrac: Savke_Montana | ID: 2 | IP: 79.101.70.28
[10/5/2015 - 18:48:55] | Igrac: Mr_Boss | ID: 0 | IP: 77.239.28.1
[10/5/2015 - 18:52:9] | Igrac: Kenan_Shadow | ID: 5 | IP: 37.203.127.10
[10/5/2015 - 19:1:21] | Igrac: Brad_Caballero | ID: 6 | IP: 176.108.61.169
[10/5/2015 - 19:23:27] | Igrac: Peckula_Montana | ID: 1 | IP: 178.220.40.80
[10/5/2015 - 19:26:46] | Igrac: Joca_Boss | ID: 4 | IP: 178.149.135.205
[14/5/2015 - 22:58:28] | Igrac: Johnny_Nelsons | ID: 0 | IP: 127.0.0.1
[17/10/2015 - 18:26:44] | Igrac: Nate_Diaz | ID: 0 | IP: 127.0.0.1
[17/10/2015 - 20:16:50] | Igrac: Nate_Diazaa | ID: 0 | IP: 127.0.0.1
[17/10/2015 - 20:23:16] | Igrac: Nate_Diazaafsa | ID: 0 | IP: 127.0.0.1
[18/10/2015 - 22:32:57] | Igrac: Nate_Diazjhbdsfn | ID: 0 | IP: 127.0.0.1
[22/10/2015 - 13:53:51] | Igrac: Tessst_Tasd | ID: 0 | IP: 127.0.0.1
[22/10/2015 - 14:25:36] | Igrac: Nathan_Diazaad | ID: 0 | IP: 127.0.0.1
